"Reference","Value","Footprint","Alt. Manufacturer","Alt. Mfg P/N","Description","Digi-Key_PN","Insert","Insert?","LCSC","MPN","MPN(Secondary)","Manufacturer","Manufacturer(Secondary)","Manufacturer_Name","Manufacturer_Part_Number","Mfg P/N","Mouser Part Number","Mouser Price/Stock","Populate","Status","Supplier (2nd)","Supplier (Primary)","Supplier SKU (2nd)","Supplier SKU (Primary)","User Optional","Value_Modifer","Value_Modifier","Qty"
"C1","0.1uF","Capacitor_SMD:C_0805_2012Metric","","","CAP","","","Yes","C28233","","","","","","","","","","yes","","","","","","","","","1"
"C7","220uF","Capacitor_SMD:C_1206_3216Metric","","","","","","","C412252","","","","","","","","","","yes","","","","","","","","","1"
"C8","220uF","Capacitor_SMD:C_1206_3216Metric","","","","","","","C412252","","","","","","","","","","yes","","","","","","","","","1"
"C9","220uF","Capacitor_SMD:C_1206_3216Metric","","","","","","","C412252","","","","","","","","","","yes","","","","","","","","","1"
"C10","1uF","Capacitor_SMD:C_0805_2012Metric","","","","","","","C28323","","","","","","","","","","yes","","","","","","","","","1"
"C11","0.01uF","Capacitor_SMD:C_0805_2012Metric","","","","","","","C1710","","","","","","","","","","yes","","","","","","","","","1"
"C12","1uF","Capacitor_SMD:C_0805_2012Metric","","","","","","","C28323","","","","","","","","","","yes","","","","","","","","","1"
"C13","220uF","Capacitor_SMD:C_1206_3216Metric","","","","","","","C412252","","","","","","","","","","yes","","","","","","","","","1"
"C14","220uF","Capacitor_SMD:C_1206_3216Metric","","","","","","","C412252","","","","","","","","","","yes","","","","","","","","","1"
"C15","220uF","Capacitor_SMD:C_1206_3216Metric","","","","","","","C412252","","","","","","","","","","yes","","","","","","","","","1"
"C16","0.1uF","Capacitor_SMD:C_0805_2012Metric","","","CAP","","","Yes","C28233","","","","","","","","","","yes","","","","","","","","","1"
"C17","0.1uF","Capacitor_SMD:C_0805_2012Metric","","","CAP","","","Yes","C28233","","","","","","","","","","yes","","","","","","","","","1"
"C18","10uF","Capacitor_SMD:C_0805_2012Metric","","","CAP","","","Yes","C17024","","","","","","","","","","yes","","","","","","","","","1"
"C19","0.1uF","Capacitor_SMD:C_0805_2012Metric","","","CAP","","","Yes","C28233","","","","","","","","","","yes","","","","","","","","","1"
"C20","0.1uF","Capacitor_SMD:C_0805_2012Metric","","","Capacitor","","YES","","C396718","","","","","","","","","","","","","","","","","X7R ceramic","","1"
"C21","0.1uF","Capacitor_SMD:C_0805_2012Metric","","","Capacitor","","YES","","C396718","","","","","","","","","","","","","","","","","X7R ceramic","","1"
"C22","0.1uF","Capacitor_SMD:C_0805_2012Metric","","","Capacitor","","YES","","C396718","","","","","","","","","","","","","","","","","X7R ceramic","","1"
"C23","0.1uF","Capacitor_SMD:C_0805_2012Metric","","","Capacitor","","YES","","C396718","","","","","","","","","","","","","","","","","X7R ceramic","","1"
"CM1","Core_Memory_4x4_Matrix_Front_Facing","Core_64_KiCad_Library:core_16_6.75mm_square_front_facing","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"D1","BAT54CW","Package_TO_SOT_SMD:SOT-323_SC-70","","","DIODE ARRAY SCHOTTKY 30V ","","","Yes","C83573","BAT54CW-7-F","","","","Diodes Inc.","","","","","yes","","","","","","","","","1"
"D2","BAT54AW","Package_TO_SOT_SMD:SOT-323_SC-70","","","DIODE ARRAY SCHOTTKY 30V ","","","Yes","C78261","BAT54AW-7-F","","","","Diodes Inc.","","","","","yes","","","","","","","","","1"
"D3","BAT54CW","Package_TO_SOT_SMD:SOT-323_SC-70","","","DIODE ARRAY SCHOTTKY 30V ","","","Yes","C83573","BAT54CW-7-F","","","","Diodes Inc.","","","","","yes","","","","","","","","","1"
"D4","BAT54AW","Package_TO_SOT_SMD:SOT-323_SC-70","","","DIODE ARRAY SCHOTTKY 30V ","","","Yes","C78261","BAT54AW-7-F","","","","Diodes Inc.","","","","","yes","","","","","","","","","1"
"D9","BAT54CW","Package_TO_SOT_SMD:SOT-323_SC-70","","","DIODE ARRAY SCHOTTKY 30V ","","","Yes","C83573","BAT54CW-7-F","","","","Diodes Inc.","","","","","yes","","","","","","","","","1"
"D10","BAT54AW","Package_TO_SOT_SMD:SOT-323_SC-70","","","DIODE ARRAY SCHOTTKY 30V ","","","Yes","C78261","BAT54AW-7-F","","","","Diodes Inc.","","","","","yes","","","","","","","","","1"
"D21","SK6812","Core_64_KiCad_Library:4960_ADA_REV_RGB_LED_short_pads","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"D22","SK6812","Core_64_KiCad_Library:4960_ADA_REV_RGB_LED_short_pads","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"D23","SK6812","Core_64_KiCad_Library:4960_ADA_REV_RGB_LED_short_pads","","","","","","","","","","","","","","","","","","","","","","","","","","1"
